Model,Arch,V_IN,MAE (test),Strat A,Strat B,Strat C,BM1 (Fixed),BM2 (Rebal),A vs BM1,C vs BM1
inv_mlp_vin10_vout90,mlp,10,0.02102905511856079,0.48953248608983035,0.41860822421554633,0.49620020280542115,0.24841222551085423,0.23535934619005316,0.24112026057897612,0.24778797729456692
inv_mlp_vin5_vout90,mlp,5,0.02639167569577694,0.2536839155045597,0.11160540640141936,0.43778383495254386,0.24841222551085423,0.23535934619005316,0.005271689993705475,0.18937160944168963
inv_cnn_vin10_vout90,cnn,10,0.025996048003435135,0.16404386401463697,0.13030940093385796,0.35005646946195,0.24841222551085423,0.23535934619005316,-0.08436836149621726,0.10164424395109578
inv_cnn_vin5_vout90,cnn,5,0.031277816742658615,0.14355447856708703,0.07273457706705769,0.5084176573689879,0.24841222551085423,0.23535934619005316,-0.1048577469437672,0.2600054318581337
inv_cnn_vin90_vout90,cnn,90,0.031894754618406296,0.07673765460364623,0.055278465128767884,0.3030025930546099,0.24841222551085423,0.23535934619005316,-0.171674570907208,0.05459036754375568
inv_rnn_vin30_vout90,rnn,30,0.04037434980273247,0.06373977905296231,0.042230091200860055,0.36124943945379895,0.24841222551085423,0.23535934619005316,-0.18467244645789194,0.11283721394294471
inv_rnn_vin5_vout90,cnn,5,0.04061591997742653,0.04584272909221152,0.01586363177954748,0.23093986380874557,0.24841222551085423,0.23535934619005316,-0.20256949641864272,-0.01747236170210867
inv_cnn_vin30_vout90,cnn,30,0.03845570981502533,0.041419392601552876,0.039240432315729955,0.18955734108482672,0.24841222551085423,0.23535934619005316,-0.20699283290930137,-0.058854884426027515
inv_mixto_vin5_vout90,mixto,5,0.06883901357650757,0.026387771175760612,0.01544277333074091,0.12294001895215297,0.24841222551085423,0.23535934619005316,-0.22202445433509363,-0.12547220655870128
inv_mlp_vin90_vout90,mlp,90,0.06073203682899475,0.021768736422757406,0.005314748873565822,0.10265340650989296,0.24841222551085423,0.23535934619005316,-0.22664348908809684,-0.14575881900096127
inv_mixto_vin90_vout90,mixto,90,0.10479193925857544,0.0,0.0,0.0,0.24841222551085423,0.23535934619005316,-0.24841222551085423,-0.24841222551085423
