window,rebal_date,end_date,days,ticker,weight_eq,weight_prop,exp_return,actual_return,direction_correct
0,2025-01-02,2025-05-14,90,KO,0.2,0.4021261544326165,0.1355276749429963,0.12662318998398936,1
0,2025-01-02,2025-05-14,90,JNJ,0.2,0.3305928707896724,0.11141897296899772,0.024382728483520966,1
0,2025-01-02,2025-05-14,90,BA,0.2,0.1120270735421272,0.03775623306386231,0.19113287389760636,1
0,2025-01-02,2025-05-14,90,MRK,0.2,0.07856535279728365,0.026478704452128125,-0.25275076807277963,0
0,2025-01-02,2025-05-14,90,CVX,0.2,0.07668854843830028,0.02584616929296946,-0.02364300104222883,0
1,2025-05-14,2025-09-23,90,MRK,0.2,0.5786068384736639,0.21765482485474466,0.11009048134681798,1
1,2025-05-14,2025-09-23,90,JNJ,0.2,0.22721948212940613,0.08547326664324018,0.22575155807848124,1
1,2025-05-14,2025-09-23,90,CVX,0.2,0.12703535455069562,0.047786953085502744,0.1372287886669954,1
1,2025-05-14,2025-09-23,90,KO,0.2,0.05110724286790367,0.01922503720240559,-0.021116938490592596,0
1,2025-05-14,2025-09-23,90,PG,0.2,0.016031081978330787,0.006030420154435245,-0.028332611958112985,0
2,2025-09-23,2026-02-02,90,MRK,0.2,1.0,0.016617488245092394,0.4299522766966648,1
3,2026-02-02,2026-05-20,75,HPQ,0.2,0.5217610173981371,0.33982341338304173,0.09281382579019049,1
3,2026-02-02,2026-05-20,75,DIS,0.2,0.17923734083984,0.11673743905519984,-0.0016275555185468749,0
3,2026-02-02,2026-05-20,75,PG,0.2,0.13779356813961927,0.08974507313892201,-0.05998277673166752,0
3,2026-02-02,2026-05-20,75,IP,0.2,0.08917821917918682,0.058081853243872696,-0.23910434067115038,0
3,2026-02-02,2026-05-20,75,KO,0.2,0.07202985444321681,0.04691310808239195,0.09997147730722533,1
