window,rebal_date,end_date,days,ticker,weight_eq,weight_prop,exp_return,actual_return,direction_correct
0,2025-01-02,2025-05-14,90,KO,0.2,0.30057882020609483,0.13034538186160885,0.12662318998398936,1
0,2025-01-02,2025-05-14,90,XOM,0.2,0.2247730295697935,0.09747235800372389,0.019945167969315225,1
0,2025-01-02,2025-05-14,90,JNJ,0.2,0.18333504505491596,0.07950286197781053,0.024382728483520966,1
0,2025-01-02,2025-05-14,90,BA,0.2,0.16045811166069116,0.06958232726732011,0.19113287389760636,1
0,2025-01-02,2025-05-14,90,MRK,0.2,0.13085499350850463,0.05674499648933858,-0.25275076807277963,0
1,2025-05-14,2025-09-23,90,MRK,0.2,0.6313830069220536,0.29338278539488166,0.11009048134681798,1
1,2025-05-14,2025-09-23,90,XOM,0.2,0.1402466037846392,0.06516795480621702,0.06996322828513679,1
1,2025-05-14,2025-09-23,90,JNJ,0.2,0.11743827275640926,0.05456967830224278,0.22575155807848124,1
1,2025-05-14,2025-09-23,90,KO,0.2,0.07063941159590766,0.03282379649983419,-0.021116938490592596,0
1,2025-05-14,2025-09-23,90,HPQ,0.2,0.04029270494099019,0.018722686352154513,0.01732387590985307,1
2,2025-09-23,2026-02-02,90,MRK,0.2,0.5467197923442197,0.1371369794015522,0.4299522766966648,1
2,2025-09-23,2026-02-02,90,KO,0.2,0.2666628670062854,0.06688863401670196,0.13714740085616883,1
2,2025-09-23,2026-02-02,90,PG,0.2,0.11696739501758179,0.02933962784189831,0.018731214625425263,1
2,2025-09-23,2026-02-02,90,XOM,0.2,0.06964994563191326,0.017470710395333842,0.22519114641851945,1
3,2026-02-02,2026-05-20,75,HPQ,0.2,0.44214012385339896,0.4626982087026752,0.09281382579019049,1
3,2026-02-02,2026-05-20,75,DIS,0.2,0.17571455343806422,0.18388471150322586,-0.0016275555185468749,0
3,2026-02-02,2026-05-20,75,PG,0.2,0.1381357680316062,0.1445586341925957,-0.05998277673166752,0
3,2026-02-02,2026-05-20,75,KO,0.2,0.12463696147063455,0.13043217681308752,0.09997147730722533,1
3,2026-02-02,2026-05-20,75,IP,0.2,0.11937259320629615,0.12492303246167319,-0.23910434067115038,0
