window,rebal_date,end_date,days,ticker,weight_eq,weight_prop,exp_return,actual_return,direction_correct
0,2025-01-02,2025-05-14,90,KO,0.2,0.4021263558024624,0.13552778461114193,0.12662306209760144,1
0,2025-01-02,2025-05-14,90,JNJ,0.2,0.3305924219638814,0.11141885606723594,0.024382396488676683,1
0,2025-01-02,2025-05-14,90,BA,0.2,0.11202735134919012,0.0377563383377638,0.19113287389760636,1
0,2025-01-02,2025-05-14,90,MRK,0.2,0.0785653373759983,0.026478707421571084,-0.25275076807277963,0
0,2025-01-02,2025-05-14,90,CVX,0.2,0.07668853350846774,0.02584617223295244,-0.02364300104222883,0
1,2025-05-14,2025-09-23,90,MRK,0.2,0.578606456420772,0.21765482530755786,0.11009048134681798,1
1,2025-05-14,2025-09-23,90,JNJ,0.2,0.22721993035088292,0.08547349186672752,0.2257518207814211,1
1,2025-05-14,2025-09-23,90,CVX,0.2,0.12703528421431734,0.04778695828007801,0.13722867508251912,1
1,2025-05-14,2025-09-23,90,KO,0.2,0.051107246539075786,0.019225051317649778,-0.021116940887640046,0
1,2025-05-14,2025-09-23,90,PG,0.2,0.01603108247495191,0.006030424335671907,-0.028332611958112985,0
2,2025-09-23,2026-02-02,90,MRK,0.2,1.0,0.016617491394971654,0.4299522766966648,1
3,2026-02-02,2026-05-20,75,HPQ,0.2,0.5217613615773443,0.33982341089809454,0.08086126461793763,1
3,2026-02-02,2026-05-20,75,DIS,0.2,0.17923745983341804,0.11673743869643241,-0.003542318123482935,0
3,2026-02-02,2026-05-20,75,PG,0.2,0.13779348942011654,0.08974496201239548,-0.06317262397526724,0
3,2026-02-02,2026-05-20,75,IP,0.2,0.08917811332699675,0.05808174556395274,-0.23351959565468927,0
3,2026-02-02,2026-05-20,75,KO,0.2,0.07202957584212448,0.046912895340153096,0.09001372291300203,1
